iter	Passed	Remaining
0	1	128
1	2	123
2	3	117
3	4	113
4	5	111
5	7	110
6	8	109
7	9	107
8	10	106
9	11	105
10	12	104
11	14	103
12	15	101
13	16	100
14	17	100
15	18	99
16	20	98
17	21	96
18	22	95
19	23	94
20	24	92
21	25	91
22	27	91
23	28	90
24	29	88
25	30	87
26	31	86
27	32	84
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	69
41	49	67
42	50	66
43	50	64
44	51	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	113	2
98	114	1
99	115	0
